"Source:","C:\Users\gbrsz\git\pin-gm\pin-gm-kicad\pin-gm-kicad.kicad_sch"
"Date:","2022. 04. 25. 21:16:41"
"Tool:","Eeschema (6.0.4)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","38"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"BT1, ","1","Battery","Battery","Connector_Wire:SolderWire-2sqmm_1x02_P7.8mm_D2mm_OD3.9mm","Multiple-cell battery",""
"C1, C2, C6, C9, C10, C11, C14, ","7","100n","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor",""
"C3, C5, C7, C8, C13, ","5","10p","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor",""
"C4, ","1","10-40p","C_Trim","Homemade:C_trimmer_D10mm_homemade","Trimmable capacitor",""
"C12, C15, ","2","47u","C","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","Unpolarized capacitor",""
"D1, D2, D3, D4, ","4","BPW34","BPW34","OptoDevice:Osram_DIL2_4.3x4.65mm_P5.08mm","Silicon PIN Photodiode",""
"L1, ","1","1m","L","Homemade:L_Bourns_SRR0604_homemade","Inductor",""
"LS1, ","1","Speaker","Speaker","Connector_Wire:SolderWire-2sqmm_1x02_P7.8mm_D2mm_OD3.9mm","Speaker",""
"R1, R4, R7, R9, R10, ","5","1k","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"R2, R3, ","2","5k1","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"R5, ","1","4.7k","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"R6, ","1","15k","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"R8, ","1","10M","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"R11, R12, ","2","10k","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"R13, ","1","100k","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"RV1, ","1","5k","R_Potentiometer","Potentiometer_THT:Potentiometer_Piher_PT-10-V10_Vertical","Potentiometer",""
"U1, ","1","LM358","LM358","Package_SO:SO-8_3.9x4.9mm_P1.27mm","Low-Power, Dual Operational Amplifiers, DIP-8/SOIC-8/TO-99-8",""
"U2, ","1","TL072","TL072","Package_SO:SO-8_3.9x4.9mm_P1.27mm","Dual Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8",""
